Nome da classe,Numero de objetos, Variações de Fundo, Número de Repetições,Total de amostras
Bola,3,3(bege cinza marrom),3,4
Joystick,3,3(branco bege marrom),3,4
Garrafa,3 a 4,3(branco bege marrom),3,8
Caneca,3,3(bege cinza marrom),3,4
Caderno,3,3(bege cinza marrom),3,4
Guarda-chuva,4,3(bege branco marrom),3,4
Livro,4,4(marrom bege cinza branco),3,4
Estojo,3,3(branco bege marrom),3,4
Desodorante,3 a 4,3(branco bege marrom),3,8
Fiodental,3,3(branco bege marrom),3,4
Prestobarba,3,3(branco bege marrom),3,4
Colher,4,4(marrom bege cinza branco),3,4
Tesoura,3 a 4,3(branco bege marrom),3,8
Notebook,3,2(marrom branco),3,4
Creme dental,4,3(bege branco marrom),3,4
Diario,3,3(branco bege marrom),3,4
Controle-remoto,3,3(branco bege marrom),3,4
Quadrinho,3,3(branco bege marrom),3,4
Fone,3,2(marrom branco),3,4
Oculos,3,3(branco bege marrom),3,4
Celular,3,3(branco bege marrom),3,4
Carteira,4,3(bege branco marrom),3,4
Tenis,3,3(branco bege marrom),3,4
Hidratante,3,3(branco bege marrom),3,4
Repelente,3,3(branco bege marrom),3,4